"name","risk","type","scope"
"C:\Windows\System32\lsass.exe","unknown","unknown","unknown"
"backgroundTaskHost#1","unknown","unknown","unknown"
"WUDFHost#4","unknown","unknown","unknown"
"smartscreen","unknown","unknown","unknown"
"svchost#92","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.Device#2","unknown","unknown","unknown"
"ScreenSketch","unknown","unknown","unknown"
"explorer#1","unknown","unknown","unknown"
"chrome#23","unknown","unknown","unknown"
"chrome#24","unknown","unknown","unknown"
"chrome#25","unknown","unknown","unknown"
"chrome#26","unknown","unknown","unknown"
"chrome#27","unknown","unknown","unknown"
"chrome#28","unknown","unknown","unknown"
"chrome#29","unknown","unknown","unknown"
"chrome#30","unknown","unknown","unknown"
"chrome#31","unknown","unknown","unknown"
"chrome#32","unknown","unknown","unknown"
"chrome#33","unknown","unknown","unknown"
"chrome#34","unknown","unknown","unknown"
"chrome#35","unknown","unknown","unknown"
"chrome#36","unknown","unknown","unknown"
"WMIC","unknown","unknown","unknown"
"cmd#1","unknown","unknown","unknown"
"splunk-winprintmon","unknown","unknown","unknown"
"RuntimeBroker#9","unknown","unknown","unknown"
"python3#2","unknown","unknown","unknown"
"splunk-netmon","unknown","unknown","unknown"
"splunk-optimize","unknown","unknown","unknown"
"splunk-powershell","unknown","unknown","unknown"
"splunkd#8","unknown","unknown","unknown"
"splunkd#9","unknown","unknown","unknown"
"svchost#93","unknown","unknown","unknown"
"LenovoVantage-(GenericTelemetryAddin)","unknown","unknown","unknown"
"wermgr","unknown","unknown","unknown"
"splunk-admon","unknown","unknown","unknown"
"splunk-regmon","unknown","unknown","unknown"
"SearchFilterHost","unknown","unknown","unknown"
"SearchFilterHost#1","unknown","unknown","unknown"
"SearchProtocolHost","unknown","unknown","unknown"
"OneDriveStandaloneUpdater","unknown","unknown","unknown"
"setup","unknown","unknown","unknown"
"btool","unknown","unknown","unknown"
"splunk","unknown","unknown","unknown"
"splunk-MonitorNoHandle","unknown","unknown","unknown"
"AvastUI#4","unknown","unknown","unknown"
"taskhostw#2","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.SettingsApp#3","unknown","unknown","unknown"
"C:\Windows\System32\svchost.exe","unknown","unknown","unknown"
"svchost#94","unknown","unknown","unknown"
"VSSVC","unknown","unknown","unknown"
"thunderbird#4","unknown","unknown","unknown"
"AvastUI#5","unknown","unknown","unknown"
"WmiPrvSE#2","unknown","unknown","unknown"
"QSHelper","unknown","unknown","unknown"
"msedge","unknown","unknown","unknown"
"msedge#1","unknown","unknown","unknown"
"msedge#2","unknown","unknown","unknown"
"msedge#3","unknown","unknown","unknown"
"msedge#4","unknown","unknown","unknown"
"msedge#5","unknown","unknown","unknown"
"msedge#6","unknown","unknown","unknown"
"msedge#7","unknown","unknown","unknown"
"msedge#8","unknown","unknown","unknown"
"Notepad","unknown","unknown","unknown"
"Notepad#1","unknown","unknown","unknown"
"backgroundTaskHost#2","unknown","unknown","unknown"
"scalc#1","unknown","unknown","unknown"
"soffice#1","unknown","unknown","unknown"
"GoogleUpdate","unknown","unknown","unknown"
"MicrosoftEdgeUpdate","unknown","unknown","unknown"
"DataExchangeHost","unknown","unknown","unknown"
"mmc","unknown","unknown","unknown"
"swriter","unknown","unknown","unknown"
"sppsvc","unknown","unknown","unknown"
"svchost#95","unknown","unknown","unknown"
"AppVShNotify#1","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.Device#3","unknown","unknown","unknown"
